book_id,user_id,rating
7260,20145,3.5
243238,85182,4.0
9135,45973,1.0
18671,63554,3.0
243293,81002,5.0
3734,36761,2.5
243351,91860,5.0
245558,94079,4.0
44895,7519,1.5
2360,29250,1.5
59089,22133,1.5
15185,76730,1.0
1802,12915,1.0
2132,20221,2.0
453,67115,2.0
1355,12806,1.5
243719,92937,4.0
9988,57666,1.0
13686,63132,1.0
244332,87162,4.0
12216,28455,2.0
75882,43563,2.5
1360,47161,1.0
12843,13084,1.0
1145,60854,3.5
244300,83607,4.0
245946,84717,5.0
80640,19815,2.0
3329,50091,1.0
3679,61000,2.0
5283,63164,1.0
24545,12806,1.0
243322,79107,4.0
14494,45210,1.5
11916,10717,2.0
35432,32756,2.0
283,48645,1.0
10978,59614,2.0
1324,71731,1.0
18611,23239,1.0
9485,28123,2.5
60222,29852,1.5
9421,21497,3.0
91555,22863,2.0
243672,78665,5.0
358,10159,2.0
244376,82560,4.0
4949,68828,1.0
1175,43225,1.0
8028,9053,2.5
20585,20622,2.5
516,6810,2.0
4269,73486,3.0
5034,51671,1.5
246214,79205,5.0
244888,79802,3.0
15918,1080,2.0
135671,19515,1.0
5544,59960,1.5
2963,51050,2.5
68047,31758,2.0
105185,44312,2.0
1517,45421,4.0
7403,420,4.0
26086,40403,3.5
11016,5441,2.0
110338,39152,2.0
43208,39451,2.5
7429,47313,2.0
243619,88130,3.0
5473,54287,1.0
5070,76701,2.0
2995,50639,1.5
23060,35368,3.5
10650,2953,2.0
46537,24443,2.0
25911,25499,1.5
10572,70716,1.0
244851,83398,3.0
60485,74173,1.0
3270,74707,1.5
15645,35756,1.0
7384,52773,2.0
50923,17482,3.5
6863,54630,1.0
15849,64371,1.0
2710,28251,1.5
26787,35781,1.5
27363,32863,1.5
1043,71731,1.0
10950,35841,1.0
36385,65349,2.0
246711,89927,3.0
243442,89956,4.0
8729,3785,2.5
12128,59145,3.5
51504,16234,2.0
36329,12608,2.5
243284,90148,3.0
2691,58346,1.0
9263,21465,1.0
1106,12674,3.0
245964,82032,5.0
27550,54710,1.5
1560,53578,3.5
46190,53849,2.0
1507,12915,1.0
3847,74384,2.0
16358,47158,2.0
10201,61475,2.5
20839,17332,2.0
541,73309,2.0
243508,84997,5.0
36329,70716,1.5
7664,58132,1.0
25263,36067,1.5
68690,52322,3.5
5478,19699,1.0
63644,47976,2.0
67544,57362,1.0
11195,55574,2.5
282,49142,3.5
8280,77791,2.5
25858,15204,3.0
3786,62917,1.5
45403,27325,1.5
1207,52227,2.5
1325,24812,2.5
248372,83648,4.0
22014,48226,2.5
28,58018,1.5
7275,31607,1.0
1454,34394,2.5
34766,49573,2.5
410,8493,1.0
245940,81008,4.0
2232,53213,2.0
12121,34602,3.5
26,74077,5.0
657,54586,2.0
22029,72856,3.0
4665,65131,1.5
7429,58494,3.5
28586,20990,2.0
51221,64744,1.0
95439,28375,2.5
246066,91788,5.0
213,5517,3.0
244319,85631,4.0
6061,64513,2.5
19797,69220,3.5
56164,36147,4.5
244001,80299,5.0
3482,56737,1.5
8691,51445,1.0
47579,32734,3.5
3939,71410,2.0
244432,77975,3.0
2802,63575,3.5
5957,64085,2.5
21181,9325,1.5
8798,32328,1.5
7956,71926,1.5
4214,63037,1.5
356,17660,2.0
10767,62616,1.5
17879,27354,1.5
5545,46818,3.5
244494,78863,2.0
44892,56804,2.0
248691,90559,3.0
8681,45546,3.0
925,19075,2.5
4646,32128,2.5
18,72856,2.0
5607,25068,1.0
243708,87937,5.0
20688,25981,2.5
3734,66628,2.0
45426,41954,2.0
247743,80102,5.0
3806,74311,2.5
2616,77678,3.0
7370,14175,2.5
1484,54203,2.0
7134,10953,2.0
17990,76332,2.5
5649,22438,2.0
110737,57983,2.0
4479,73278,3.0
6935,40587,1.0
243743,78479,5.0
99037,72507,1.0
244563,91240,2.0
3234,82349,3.0
3353,68005,1.0
34541,30929,1.5
3729,14825,1.5
21099,58807,2.0
12924,38807,1.5
245470,85693,5.0
24364,56442,3.5
680,31731,2.5
12582,59302,3.5
9028,38109,1.5
243728,83053,4.0
25407,35002,2.5
5031,38503,3.0
3234,46278,1.0
1377,63324,1.0
2104,50820,1.0
11753,14410,3.0
19120,48405,2.5
9360,59785,2.5
17665,69613,2.5
57354,39647,3.5
68047,10710,4.0
3902,43377,4.0
1131,60054,3.5
1493,46869,3.5
11334,74443,1.0
20870,56897,4.0
10733,9815,3.0
34874,5596,2.0
26602,54021,3.0
23692,3785,1.5
780,15310,1.5
6927,4527,2.0
2232,77158,1.0
231,23154,2.0
19451,60863,1.5
31468,58346,1.0
18557,28970,2.0
33295,7090,2.5
247441,79514,4.0
7687,29250,2.5
16589,31607,1.5
37160,72507,1.0
11520,66029,2.0
7470,8769,1.5
5034,63778,2.0
485,74446,2.0
16203,73245,1.0
21298,20221,1.5
245422,78496,2.0
245572,80876,5.0
8691,2846,1.5
20415,29640,3.5
2544,16632,3.0
6779,24932,2.0
246946,89974,5.0
11421,25135,2.5
8643,64531,2.0
16294,27824,2.0
72790,15036,2.5
26377,44866,2.0
5736,8488,1.0
20966,70480,3.0
11633,43061,3.0
1419,34195,2.0
563,71389,2.0
32162,60863,2.5
248122,89090,4.0
9875,50092,2.5
13204,5316,2.0
8560,72856,1.0
22952,27742,2.0
2246,50799,2.0
621,63778,1.5
244990,78889,4.0
7097,59869,3.5
20603,54564,1.5
9776,61076,2.5
592,7347,3.5
1680,60854,3.5
1981,43652,2.0
246732,87446,5.0
39709,42189,1.0
2948,21555,2.0
59160,11700,1.5
244752,93195,5.0
11432,39479,2.5
15193,57666,1.5
26814,32197,1.5
1696,21272,1.5
1177,52073,2.0
3181,52073,2.0
1982,74691,2.5
748,64665,3.0
243242,80449,4.0
8899,7714,3.5
247022,92692,5.0
56150,43652,1.0
243997,84183,5.0
341,25513,1.0
5759,77624,1.5
6347,16233,2.5
1130,46903,1.0
15513,43652,1.5
3839,10765,1.0
19038,32068,3.5
12311,5519,1.0
12924,60001,2.0
22435,24796,2.5
4173,450,1.5
8407,45904,2.0
18896,12788,1.0
14890,7556,2.0
2527,51726,1.0
7692,56921,1.5
29163,43652,1.0
243383,84276,5.0
57783,32920,1.0
368,9184,1.5
16199,48535,2.0
10958,19105,1.0
5604,47161,1.0
6356,44312,1.0
31684,3785,3.5
285,67716,2.0
1054,74227,2.5
4396,6913,3.0
243241,86001,4.0
243223,93722,4.0
15183,15310,1.0
243236,92707,5.0
1105,2092,2.0
6409,72455,2.5
245,40587,1.5
2527,50799,3.5
1106,77367,1.0
245993,92890,5.0
2184,12313,3.0
7810,28251,1.0
1545,24137,1.5
20065,40001,3.5
4442,23266,2.0
1517,11349,1.0
20744,75858,2.0
25964,46573,2.5
7664,20143,2.0
14156,50869,3.0
59482,26161,2.5
22982,69469,4.5
12836,73425,2.5
21294,28251,2.0
31790,15459,2.0
93600,28251,1.5
8083,22634,1.0
1588,19794,2.5
4017,17636,1.5
14880,29946,1.0
22617,3785,3.0
207,25513,1.5
247530,90227,3.0
12640,60508,1.0
246566,91317,4.0
7500,4556,1.0
748,23051,2.0
758,35112,2.0
2554,64879,1.5
8785,40403,3.5
1558,9915,2.0
77139,7347,2.0
58119,17179,2.0
14839,43671,2.0
90,56066,1.0
38624,6408,4.5
4530,11857,2.5
9897,33749,2.0
7743,54871,2.0
16203,57579,1.0
50289,34602,2.5
27556,3785,3.0
4149,61052,2.5
748,62929,2.5
3688,33181,1.5
243668,84995,5.0
243868,86790,1.0
8768,26182,1.5
9849,48814,3.5
7730,30473,2.5
938,3201,2.0
38574,40172,2.0
479,18713,3.0
2912,38840,3.0
5865,54075,1.5
26087,35368,3.5
244699,86801,3.0
5070,39477,2.5
222,70440,2.5
10326,4765,3.0
243589,85583,4.0
8987,28099,5.0
7971,57838,1.0
38049,44332,2.5
18958,41453,2.5
4131,69850,2.0
3888,1538,1.5
26197,77506,2.0
19354,10717,2.5
1195,44910,1.5
5031,16554,2.0
3190,27857,3.5
26129,60863,1.0
1423,70967,2.0
244665,80840,3.0
2417,73878,3.5
44553,57371,2.0
4202,35668,3.5
243238,90872,4.0
21046,75775,2.0
247981,93489,3.0
25164,51992,1.0
26728,45973,1.5
8028,12606,1.0
36329,55263,3.5
5968,30888,2.0
247071,94010,3.0
1777,46635,1.0
72631,24796,2.5
1986,60378,1.0
37108,70038,3.5
2544,35150,2.0
53614,200,1.5
2114,4139,2.0
247990,89844,5.0
25885,56703,3.5
20600,67456,1.5
16305,32734,3.5
9950,7135,1.0
31905,22939,2.0
3242,24824,3.0
11447,52111,2.0
748,46539,2.5
15244,44332,1.5
7530,77337,2.0
8311,72955,2.0
8603,70362,1.0
59978,74311,2.0
1421,49124,1.5
243367,88594,3.0
14306,53242,2.5
243762,91873,4.0
7438,68895,1.5
16980,9325,1.5
10638,7135,2.5
2290,36815,2.5
7401,17788,2.0
22687,67717,3.5
42431,60854,3.5
20996,22778,1.0
27952,72539,2.0
34944,49070,3.0
11530,30391,1.0
1713,30022,2.0
246472,89879,5.0
9176,58968,1.5
20464,7427,2.5
707,45229,2.5
3020,8147,2.5
59480,65595,3.0
541,10434,3.5
21287,53850,2.0
5663,26178,2.0
23704,20221,1.0
246556,87194,5.0
244641,82435,4.0
23259,44812,1.5
22006,17839,3.5
14297,24435,2.5
246786,83699,5.0
2212,67800,1.5
29111,38756,2.5
22948,17756,2.0
45,74311,1.0
5478,61956,4.5
243867,86951,4.0
243591,85599,3.0
244382,87434,4.0
243387,88542,4.0
27239,41645,1.5
34849,56986,2.0
26616,20489,3.5
1863,15563,1.0
244019,88353,4.0
477,69443,2.0
1499,61440,1.0
12047,35947,1.0
408,76701,1.5
15704,48970,2.0
246078,82804,5.0
4283,3434,1.5
3730,76499,1.5
305,12644,1.5
3847,4672,1.5
5053,16816,2.0
245496,82116,2.0
244452,92919,3.0
248008,85655,5.0
5858,2092,3.0
22285,77498,2.5
3354,30091,2.0
45667,25173,3.0
76281,57725,2.0
11318,70827,2.0
1922,12425,3.0
45065,40906,2.5
14236,54652,2.5
23689,53041,1.5
479,5180,4.0
244139,81852,1.0
125190,63610,1.0
243659,86456,5.0
165,68215,3.0
14916,77134,1.0
5522,63411,1.0
2884,227,1.0
